SampleID,Sample,Substrate,Time,Replicate,Absorbance
Laura1_TPA_Day2_R1,Laura1,TPA,Day2,R1,1.058747113
Laura1_TPA_Day2_R2,Laura1,TPA,Day2,R2,1.128238135
Laura1_TPA_Day2_R3,Laura1,TPA,Day2,R3,1.42417877
Laura2_TPA_Day2_R1,Laura2,TPA,Day2,R1,1.219869092
Laura2_TPA_Day2_R2,Laura2,TPA,Day2,R2,1.20007663
Laura2_TPA_Day2_R3,Laura2,TPA,Day2,R3,1.321907946
Emma1_TPA_Day2_R1,Emma1,TPA,Day2,R1,1.390172038
Emma1_TPA_Day2_R2,Emma1,TPA,Day2,R2,1.369651623
Emma1_TPA_Day2_R3,Emma1,TPA,Day2,R3,1.377413817
Emma2_TPA_Day2_R1,Emma2,TPA,Day2,R1,1.204497875
Emma2_TPA_Day2_R2,Emma2,TPA,Day2,R2,1.352232636
Emma2_TPA_Day2_R3,Emma2,TPA,Day2,R3,1.355018922
Lindsay1_TPA_Day2_R1,Lindsay1,TPA,Day2,R1,1.567036969
Lindsay1_TPA_Day2_R2,Lindsay1,TPA,Day2,R2,1.577712694
Lindsay1_TPA_Day2_R3,Lindsay1,TPA,Day2,R3,1.578449518
Lindsay2_TPA_Day2_R1,Lindsay2,TPA,Day2,R1,1.587758846
Lindsay2_TPA_Day2_R2,Lindsay2,TPA,Day2,R2,1.566655051
Lindsay2_TPA_Day2_R3,Lindsay2,TPA,Day2,R3,1.540319825
Steve1_TPA_Day2_R1,Steve1,TPA,Day2,R1,1.491451993
Steve1_TPA_Day2_R2,Steve1,TPA,Day2,R2,1.751484086
Steve1_TPA_Day2_R3,Steve1,TPA,Day2,R3,1.426970535
Steve2_TPA_Day2_R1,Steve2,TPA,Day2,R1,1.618751522
Steve2_TPA_Day2_R2,Steve2,TPA,Day2,R2,1.637143617
Steve2_TPA_Day2_R3,Steve2,TPA,Day2,R3,1.632143461
Laura1_TPA_Day5_R1,Laura1,TPA,Day5,R1,0.595662769
Laura1_TPA_Day5_R2,Laura1,TPA,Day5,R2,0.741722899
Laura1_TPA_Day5_R3,Laura1,TPA,Day5,R3,1.378016696
Laura2_TPA_Day5_R1,Laura2,TPA,Day5,R1,0.807448872
Laura2_TPA_Day5_R2,Laura2,TPA,Day5,R2,0.725737051
Laura2_TPA_Day5_R3,Laura2,TPA,Day5,R3,0.989300541
Emma1_TPA_Day5_R1,Emma1,TPA,Day5,R1,1.022192347
Emma1_TPA_Day5_R2,Emma1,TPA,Day5,R2,0.97794566
Emma1_TPA_Day5_R3,Emma1,TPA,Day5,R3,1.264603167
Emma2_TPA_Day5_R1,Emma2,TPA,Day5,R1,0.710763292
Emma2_TPA_Day5_R2,Emma2,TPA,Day5,R2,0.964144828
Emma2_TPA_Day5_R3,Emma2,TPA,Day5,R3,0.979594317
Lindsay1_TPA_Day5_R1,Lindsay1,TPA,Day5,R1,1.872182367
Lindsay1_TPA_Day5_R2,Lindsay1,TPA,Day5,R2,1.528846131
Lindsay1_TPA_Day5_R3,Lindsay1,TPA,Day5,R3,1.543290505
Lindsay2_TPA_Day5_R1,Lindsay2,TPA,Day5,R1,1.535887334
Lindsay2_TPA_Day5_R2,Lindsay2,TPA,Day5,R2,1.532077399
Lindsay2_TPA_Day5_R3,Lindsay2,TPA,Day5,R3,1.526501002
Steve1_TPA_Day5_R1,Steve1,TPA,Day5,R1,1.158713192
Steve1_TPA_Day5_R2,Steve1,TPA,Day5,R2,0.973204317
Steve1_TPA_Day5_R3,Steve1,TPA,Day5,R3,1.021717487
Steve2_TPA_Day5_R1,Steve2,TPA,Day5,R1,1.771108048
Steve2_TPA_Day5_R2,Steve2,TPA,Day5,R2,1.812158557
Steve2_TPA_Day5_R3,Steve2,TPA,Day5,R3,1.733403035